url,imgHouse,address,price,latLong,isHomeRecomendation,brokerName,homeType,beds,baths,areas,taxassets,lotArea,lotUnit,isOpenHouse,startOpenHouse,endOpenHouse,openHouseDesc
https://www.zillow.com/homedetails/310-Huntington-Ave-Bronx-NY-10465/142699561_zpid/,https://photos.zillowstatic.com/fp/b6484410eaaf370b15fc8dabef943cf7-p_e.jpg,"310 Huntington Avenue, Bronx, NY 10465","$499,999","{'latitude': 40.81749, 'longitude': -73.82224}",False,Listing by: Call It Home Realty LLC,SINGLE_FAMILY,6,5,3800,436000,,,,,,
https://www.zillow.com/homedetails/850-E-39th-St-1-Brooklyn-NY-11210/452245036_zpid/,https://photos.zillowstatic.com/fp/22b957701dc4c124814bb79876ebe5f7-p_e.jpg,"850 E 39th St #1, Brooklyn, NY 11210","$250,001","{'latitude': 40.636227, 'longitude': -73.939644}",False,Listing by: LKNG PROPERTIES,SINGLE_FAMILY,3,2,1572,,,,,,,
https://www.zillow.com/homedetails/13026-150th-St-Jamaica-NY-11436/83052639_zpid/,https://photos.zillowstatic.com/fp/534596686fc0a98e8ecdf13c7108d869-p_e.jpg,"13026 150th St, Jamaica, NY 11436","$250,000","{'latitude': 40.669086, 'longitude': -73.789345}",False,Listing by: SOWAE CORP,MULTI_FAMILY,6,2,0,369000,2655,sqft,,,,
https://www.zillow.com/homedetails/13136-132nd-St-Jamaica-NY-11420/32177357_zpid/,https://photos.zillowstatic.com/fp/59c981e6d8927bb6c0d2ea645e772bfb-p_e.jpg,"13136 132nd St, Jamaica, NY 11420","$290,000","{'latitude': 40.66973, 'longitude': -73.806885}",False,Listing by: JOSHUAS REALTY,SINGLE_FAMILY,3,2,0,707000,,,,,,
https://www.zillow.com/homedetails/33-25-90th-St-APT-3A-Queens-NY-11372/219843944_zpid/,https://photos.zillowstatic.com/fp/7a8cd87935706e3691d8074a948c16b9-p_e.jpg,"33-25 90th St APT 3A, Queens, NY 11372","$325,000","{'latitude': 40.75562, 'longitude': -73.87765}",False,Listing by: Douglas Elliman,CONDO,2,1,1000,,,,,,,
https://www.zillow.com/homedetails/418-Willow-Rd-W-Staten-Island-NY-10314/32302551_zpid/,https://photos.zillowstatic.com/fp/f35c706297fcc538476b7fe95b25c842-p_e.jpg,"418 Willow Rd W, Staten Island, NY 10314","$600,000","{'latitude': 40.61859, 'longitude': -74.15207}",False,Listing by: MAK Estates,SINGLE_FAMILY,3,2,1344,606000,2178,sqft,,,,
https://www.zillow.com/homedetails/31-W-129th-St-APT-12A-New-York-NY-10027/453605143_zpid/,https://photos.zillowstatic.com/fp/06ce7418beb143bbd2e846a58feca56f-p_e.jpg,"31 W 129th St APT 12A, New York, NY 10027","$185,500","{'latitude': 40.810787, 'longitude': -73.95479}",False,,CONDO,3,1,626,,,,,,,
https://www.zillow.com/homedetails/2545-Sedgwick-Ave-3B-Bronx-NY-10463/452317542_zpid/,https://photos.zillowstatic.com/fp/02093406562a9b3ff4967f0e26a4fdfc-p_e.jpg,"2545 Sedgwick Avenue #3B, Bronx, NY 10463","$199,000","{'latitude': 40.86756, 'longitude': -73.90755}",False,Listing by: At Home With Yara Realty,CONDO,2,1,850,,,,,,,
https://www.zillow.com/homedetails/416-Bradford-Ave-Staten-Island-NY-10309/32370132_zpid/,https://photos.zillowstatic.com/fp/566f851922edf53d67e8d03d3c4f19af-p_e.jpg,"416 Bradford Ave, Staten Island, NY 10309","$679,999","{'latitude': 40.52984, 'longitude': -74.20626}",False,Listing by: Martino Realty Group,SINGLE_FAMILY,2,2,920,639000,4791.6,sqft,,,,
https://www.zillow.com/homedetails/551-W-21st-St-APT-PENTHOUSE-New-York-NY-10011/444372194_zpid/,https://photos.zillowstatic.com/fp/7089f83ece47e88130a47c06979592c0-p_e.jpg,"551 W 21st St APT PENTHOUSE, New York, NY 10011","$75,000,000","{'latitude': 40.747578, 'longitude': -74.0073}",False,Listing by: Compass,CONDO,5,6,0,,,,,,,
https://www.zillow.com/homedetails/251-E-71st-St-New-York-NY-10021/31537160_zpid/,https://photos.zillowstatic.com/fp/7fcc9ff6357c39cbe00bc6ce7bf65b80-p_e.jpg,"251 E 71st St, New York, NY 10021","$5,750,000","{'latitude': 40.768574, 'longitude': -73.95934}",False,Listing by: Leslie J. Garfield,SINGLE_FAMILY,4,5,4736,5396000,,,,,,
https://www.zillow.com/homedetails/D132-Edgewater-D-Bronx-NY-10465/454163728_zpid/,https://photos.zillowstatic.com/fp/d360ca3faa74e0ec74caec9e9fec65bf-p_e.jpg,"D132 Edgewater #D, Bronx, NY 10465","$250,000","{'latitude': 40.82423, 'longitude': -73.80716}",False,Listing by: EXP Realty,CONDO,4,1,1200,,,,,,,
https://www.zillow.com/homedetails/8011-88th-Ave-Jamaica-NY-11421/32107990_zpid/,https://photos.zillowstatic.com/fp/ba121725d70c0a562c18ff9351984cfb-p_e.jpg,"8011 88th Avenue, Woodhaven, NY 11421","$749,999","{'latitude': 40.690315, 'longitude': -73.8612}",False,Listing by: Keller Williams Hudson Valley,SINGLE_FAMILY,3,2,1312,640000,2300,sqft,,,,
https://www.zillow.com/homedetails/15070-Foch-Blvd-Jamaica-NY-11434/32186585_zpid/,https://photos.zillowstatic.com/fp/35e9495e96649f20c9d0a03cfe0e580f-p_e.jpg,"15070 Foch Blvd, Jamaica, NY 11434","$599,000","{'latitude': 40.673237, 'longitude': -73.77524}",False,,SINGLE_FAMILY,3,3,1174,405000,0.2649908172635445,acres,True,2025-07-27T09:00:00,2025-07-27T11:00:00,Open House - 9:00 - 11:00 AM
https://www.zillow.com/homedetails/8524-Ridge-Blvd-Brooklyn-NY-11209/30699443_zpid/,https://photos.zillowstatic.com/fp/e8582dc660f4d61f2e02e446adafa286-p_e.jpg,"8524 Ridge Blvd, Brooklyn, NY 11209","$6,888,000","{'latitude': 40.624435, 'longitude': -74.03393}",False,Listing by: Tiger Realty,SINGLE_FAMILY,8,6,8000,4734000,,,,,,
https://www.zillow.com/homedetails/95-State-St-Wyandanch-NY-12305/452048102_zpid/,https://photos.zillowstatic.com/fp/c36dcc5177d0fe8161b8dea6b5ad8a03-p_e.jpg,"95 State St, Wyandanch, NY 12305","$549,000","{'latitude': 40.691517, 'longitude': -73.995804}",False,Listing by: REALTY DIRECT NY INC,SINGLE_FAMILY,4,3,0,,6000,sqft,,,,
https://www.zillow.com/homedetails/20-West-St-APT-5F-New-York-NY-10004/80005921_zpid/,https://photos.zillowstatic.com/fp/b2101dc484d9283b8364653c41d8aa83-p_e.jpg,"20 West St APT 5F, New York, NY 10004","$525,000","{'latitude': 40.706184, 'longitude': -74.01561}",False,Listing by: Weichert Properties - NYC,CONDO,2,1,1332,485000,,,,,,
